,year,state,state_po,FIPS,county,party,won_proportion
185,2008,California,CA,06057,Nevada,democrat,0.5142595288155696
186,2008,California,CA,06059,Orange,democrat,0.47634930444739343
187,2008,California,CA,06061,Placer,democrat,0.433905041390585
188,2008,California,CA,06063,Plumas,democrat,0.4275480594849474
189,2008,California,CA,06065,Riverside,democrat,0.5021126249229491
190,2008,California,CA,06067,Sacramento,democrat,0.5849296157279325
191,2008,California,CA,06069,San Benito,democrat,0.604770362852068
192,2008,California,CA,06071,San Bernardino,democrat,0.5207031108267061
193,2008,California,CA,06073,San Diego,democrat,0.5414748583928964
194,2008,California,CA,06075,San Francisco,democrat,0.8416021312995442
195,2008,California,CA,06077,San Joaquin,democrat,0.5444210385528472
196,2008,California,CA,06079,San Luis Obispo,democrat,0.5139423910503343
197,2008,California,CA,06081,San Mateo,democrat,0.734691320575551
198,2008,California,CA,06083,Santa Barbara,democrat,0.6038122027076472
199,2008,California,CA,06085,Santa Clara,democrat,0.6944841336019676
200,2008,California,CA,06087,Santa Cruz,democrat,0.7745738647505942
201,2008,California,CA,06089,Shasta,democrat,0.35908695111332256
202,2008,California,CA,06091,Sierra,democrat,0.37317930688096435
203,2008,California,CA,06093,Siskiyou,democrat,0.4327899394503959
204,2008,California,CA,06095,Solano,democrat,0.634236797475353
205,2008,California,CA,06097,Sonoma,democrat,0.7363735061107212
206,2008,California,CA,06099,Stanislaus,democrat,0.49858087755799146
207,2008,California,CA,06101,Sutter,democrat,0.40715218117239915
208,2008,California,CA,06103,Tehama,democrat,0.3660582746767065
209,2008,California,CA,06105,Trinity,democrat,0.5072168183244431
210,2008,California,CA,06107,Tulare,democrat,0.41474820827709447
211,2008,California,CA,06109,Tuolumne,democrat,0.4242669511791325
212,2008,California,CA,06111,Ventura,democrat,0.5520924072984108
213,2008,California,CA,06113,Yolo,democrat,0.6707043348505938
214,2008,California,CA,06115,Yuba,democrat,0.4142797065557684
215,2008,Colorado,CO,08001,Adams,democrat,0.5822030043800897
216,2008,Colorado,CO,08003,Alamosa,democrat,0.5601336302895323
217,2008,Colorado,CO,08005,Arapahoe,democrat,0.5569006718066639
218,2008,Colorado,CO,08007,Archuleta,democrat,0.4280754716981132
219,2008,Colorado,CO,08009,Baca,democrat,0.2464367816091954
220,2008,Colorado,CO,08011,Bent,democrat,0.4161458333333333
221,2008,Colorado,CO,08013,Boulder,democrat,0.7228506721470864
222,2008,Colorado,CO,08014,Broomfield,democrat,0.5489423827793434
223,2008,Colorado,CO,08015,Chaffee,democrat,0.49002016129032255
224,2008,Colorado,CO,08017,Cheyenne,democrat,0.1782178217821782
225,2008,Colorado,CO,08019,Clear Creek,democrat,0.5777700710941565
226,2008,Colorado,CO,08021,Conejos,democrat,0.5560144553433144
227,2008,Colorado,CO,08023,Costilla,democrat,0.7336476134354744
228,2008,Colorado,CO,08025,Crowley,democrat,0.35430038510911427
229,2008,Colorado,CO,08027,Custer,democrat,0.3468999619627235
230,2008,Colorado,CO,08029,Delta,democrat,0.329402617597512
231,2008,Colorado,CO,08031,Denver,democrat,0.7545381224381567
232,2008,Colorado,CO,08033,Dolores,democrat,0.3032046014790468
233,2008,Colorado,CO,08035,Douglas,democrat,0.4081175610430842
234,2008,Colorado,CO,08037,Eagle,democrat,0.609043044522446
235,2008,Colorado,CO,08039,Elbert,democrat,0.28918673330304406
236,2008,Colorado,CO,08041,El Paso,democrat,0.39864189622037155
237,2008,Colorado,CO,08043,Fremont,democrat,0.34359154576032935
238,2008,Colorado,CO,08045,Garfield,democrat,0.49202842041417555
239,2008,Colorado,CO,08047,Gilpin,democrat,0.5919418358073311
240,2008,Colorado,CO,08049,Grand,democrat,0.48591718825228697
241,2008,Colorado,CO,08051,Gunnison,democrat,0.6263810597519729
242,2008,Colorado,CO,08053,Hinsdale,democrat,0.4006677796327212
